id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,name,store,hireDate,email
1,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Elizabeth Davis,1,17/6/2006,edavis@mamamaggy.com
2,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,James Miller,3,21/9/2008,jmiller@mamamaggy.com
3,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Jennifer Garcia,5,4/1/2004,jgarcia@mamamaggy.com
4,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Mark Williams,7,3/1/2009,mwilliams@mamamaggy.com
5,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Sarah Brown,9,10/5/2010,sbrown@mamamaggy.com
6,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,David Smith,11,25/6/2008,dsmith@mamamaggy.com
7,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Karen Johnson,2,9/5/2009,kjohnson@mamamaggy.com
8,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Richard Wilson,4,7/2/2010,rwilson@mamamaggy.com
9,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Linda Jones,6,17/8/2005,ljones@mamamaggy.com
10,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Taesha Moore,8,17/9/2011,tmoore@mamamaggy.com
11,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Ahmed Ruzi,10,15/2/2008,aruzi2@mamamaggy.com
12,2019-05-16T19:39:46,2019-05-16T19:39:46,sbrown@mamamaggy.com,sbrown@mamamaggy.com,Ricardo Sandoval,12,10/1/2010,rsandoval@mamamaggy.com
