Product,Sale Date,Sale to Email,Unit Cost,Units Sold,Discount Percent,Confirmation,Shipper
Charging Cord,11-Feb-20,jaimee.gammons@aguv.com,6.95,7,10,629C-411D-9BB4-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Spinner,19-Jan-20,saul.mokry@agu1.com,5.99,1,0,629C-411D-TBBA-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Spinner,8-Jul-19,alva.halajian@aguw.com,5.99,2,10,629C-411D-9BB5-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Phone Case,24-Jun-19,rob.kempt@agug.com,19.95,3,10,629C-411D-9BA5-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Sticker,10-Dec-19,laurice.karl@agsv.com,1.99,3,10,629C-411D-9B6C-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Pen,22-Feb-20,ami.dardar@agva.com,2.99,2,10,629C-411D-9BC3-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Pen,2-Jun-19,kenny.campobasso@agts.com,2.99,7,10,629C-411D-9B8D-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Phone Case,22-Apr-19,stefany.waninger@agt6.com,19.95,7,10,629C-411D-9B9B-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Spinner,6-Oct-19,brooks.craker@agtq.com,5.99,8,10,629C-411D-9B8B-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Stress Ball,6-Dec-19,luana.berends@ags6.com,5.95,7,10,629C-411D-9B77-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Phone Case,1-Oct-19,lenore.sullivan@agt0.com,19.95,4,10,629C-411D-9B95-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Sticker,6-Dec-19,dean.bollich@agst.com,1.99,7,10,629C-411D-9B6A-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Spinner,25-Jan-20,joseph.wilke@agt3.com,5.99,4,10,629C-411D-9B98-1A12-E053-6F31-C40A-DAA7,Federal Shipping
Sticker,19-Apr-20,reinaldo.feltner@agtx.com,1.99,4,10,629C-411D-9B92-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,13-Jun-19,arron.waclawski@agt7.com,19.95,8,10,629C-411D-9B9C-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Phone Case,6-Jun-19,marco.slivka@agvc.com,19.95,2,10,629C-411D-9BC5-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
Spinner,14-Jul-19,cathey.salen@agve.com,5.95,5,10,629C-411D-9BC7-1A12-E053-6F31-C40A-DAA7,Speedy Shipping
